,review_comment_message,review_creation_year,review_score,review_type
239,"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",2016,1,negative
240,Produto muito bom,2018,5,positive
241,o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ,2018,1,negative
242,produto deu defeito na 1 vez de uso.,2018,1,negative
244,super recomendo produto profissional de qualidade,2018,5,positive
245,até agora não recebi o produto.,2018,1,negative
248, A loja anuncia um produto e entrega outro.,2018,1,negative
249,muito bom e rapido quando vi ja tinha chegado,2018,5,positive
251,O produto chegou muito bem,2017,5,positive
252,otimo,2017,5,positive
253,"Apesar de ter sido entregue rapidamente, substituíram a caixa METEORO pela caixa BORNE. Quando tentei reclamar nas lannister o sistema estaav fora do ar. A guitarra e acessórios estavam corretos.",2018,3,neutral
254,Muito satisfeito,2017,5,positive
255,parabéns para loja e revendedor apesar de ter demorado um pouco,2017,4,positive
257,"Entregue dentro do prazo, e com bom período de validade.",2018,5,positive
258,"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",2018,5,positive
259,produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),2018,1,negative
262,Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,2018,2,negative
263,"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA",2017,2,negative
267,"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. ",2017,1,negative
272,sempre comprei no stark e estou satisfeito.,2017,5,positive
273,fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,2017,5,positive
276,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",2018,1,negative
279,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,2018,5,positive
281,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,2018,5,positive
288,"Tudo ok,o baratheon sempre responsável com a suas entregas.",2017,5,positive
292,o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,2017,1,negative
296,E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,2018,1,negative
297,A,2017,5,positive
298,entrega rapida,2018,5,positive
300,foi bom,2017,4,positive
301,Mercadoria certa entregue no prazo combinado. Grata,2018,5,positive
303,", muito ruim ! ",2017,1,negative
305,Passou dos dias previstos.,2018,1,negative
311,Ao fazer a compra do kit entendi que receberia 2 frascos de 60 cápsulas (cada) e não 2 frascos com 60 cápsulas no total. Só não vou devolver porque estou precisando do produto.,2018,3,neutral
313,Entrega bem antes do prazo perfeito!!,2018,5,positive
314,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,2018,5,positive
319,bem rapido a entrega e bom comprar com vcs,2017,5,positive
320,Produto não recomendo não ler em nenhum dispositivo,2018,1,negative
321,"Entrega super rápida, parabéns!",2017,4,positive
324,Tudo rápido e eficiente.,2018,4,positive
327,Creme maravilhoso e entrega super rápida,2018,5,positive
330,"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. ",2018,1,negative
331,"Chegou hoje 
sem comentários",2018,4,positive
332,"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",2018,1,negative
335,Muito bom! Aquilo que esperava!,2017,5,positive
336,A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,2018,2,negative
341,No site o produto parece ter melhor qualidade de material e acabamento.,2018,3,neutral
345,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",2018,5,positive
346,"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",2018,3,neutral
347,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,2018,5,positive
348,Recomendo.,2017,5,positive
349,Faltaram os cabos e o manual,2018,3,neutral
354,ótimo chegou bem antes do prazo .,2017,5,positive
358,Entregue no prazo produto muito bom.,2017,5,positive
361,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",2017,2,negative
363,Acho q deveriam mandar por sedex ao invés de pac,2017,5,positive
364,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",2018,1,negative
369,Lindo... Só faltou instruções da troca de pulseiras.,2018,5,positive
372,"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",2018,5,positive
379,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",2017,5,positive
380,"Não gostei do produto, material de péssima qualidade.",2017,1,negative
381,"Dos dois produtos comprados, foi entregue apenas um!",2018,1,negative
382,Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,2018,1,negative
383,Recebi corretamente o produto,2017,3,neutral
389,"recebi o produto dentro do prazo informado, ainda não utilizei.",2018,5,positive
391,"O pedido chegou antes do combinado, muito bom.",2018,4,positive
392,produto entregue conforme anunciado.,2017,4,positive
394,recebe apenas 01 peça do produto! estou precisando da 2 peças restante! ,2018,3,neutral
395,LOJA 10,2017,5,positive
396,"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",2017,4,positive
398,Nem fizeram a nota fiscal ,2018,1,negative
399,"Chegou antes do prazo!
Produto excelente!",2018,5,positive
404,trabalho com profissionalismo das lojas lannister. indico com certeza,2018,4,positive
408,"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",2017,1,negative
409,super recomendo o produto que é muito bom!,2017,5,positive
410,"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. ",2017,5,positive
411," A loja postou o produto de e mediato o correio demorou um pouco
",2017,4,positive
412,"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",2017,5,positive
413,Muito bom desde da compra a entrega td direitinho e rapido,2017,4,positive
414,Tudo ok!,2018,5,positive
419,A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,2017,1,negative
420,Entrega e qualidade do produto de acordo com o esperado.,2017,5,positive
421,Excelente recomendo,2018,5,positive
422,"A bolsa e muito bonita por fora
Mas dentro não tem forro 
E é bem fragil 
",2018,3,neutral
426,"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. ",2018,1,negative
427,"muito bom, recomendo o produto.",2018,4,positive
430,quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,2018,5,positive
432,bom em todos os aspectos,2017,4,positive
440,Até hoje estou satisfeito com a sbmarino,2018,5,positive
443,Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,2017,1,negative
445,Gostei!,2017,5,positive
455,"Fiquei feliz com. O tecido ,mas acho que faltou o lençol de cima para ficar completo , espero que logo lancem.",2018,3,neutral
456,Chegou antes do prazo é a cabeceira é linda.,2018,5,positive
459,"Houve alguma confusão entre vendedor e o stark, pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega; neguei e recebi o produto dias depois.",2017,3,neutral
463,10,2018,5,positive
464,Gostei do produto chegou no tempo certo os vendedores estão de parabéns,2017,5,positive
467,Atendimento excelente,2018,5,positive
468,Gostei ,2017,4,positive
471,No dia 19 de maio usei e a à alça quebrou sem muito peso ,2017,1,negative
472,Toalha do maior campeão do Brasil maravilhosa ,2018,5,positive
473,"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",2018,5,positive
477,Até agora tudo bem estou esperando a entrega do produto,2018,5,positive
479,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",2018,5,positive
483,"O produto foi entregue antes do prazo.
",2018,5,positive
486,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",2017,4,positive
488,comprei o produto na cor preta e chegou na cor vermelha.,2017,2,negative
492,"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado",2018,5,positive
493,"otimo
",2018,4,positive
496,Pensei que a mochila fosse um material mais resistente.,2018,2,negative
499,"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado ",2018,1,negative
501,o produto demora muita para chegar !,2018,1,negative
505,"So recebemos um relogio pelo correio

att
",2018,3,neutral
511,"entrega rápida, produto conforme esperado",2017,5,positive
512,Tudo como anunciado....Ótimo produto...,2018,5,positive
513,"Produto de boa qualidade, exatamente conforme anunciado, e o preço baixo é uma atrativo a mais.",2018,3,neutral
514,"Somente foi entregue uma unidade, ao invés de duas.",2017,1,negative
515," adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito",2017,4,positive
517,Muito satisfeito.,2018,5,positive
518,Otimo produto porem caro demais !!! ,2018,4,positive
520,"Produtos otimos, entrega rápida.
Super recomendo!!!",2017,5,positive
522,"recebi sim mais com defeito os encaixes sao dois igual e nao fecham 
",2018,2,negative
525,Ainda não recebi,2018,1,negative
526,Tive um pós venda excelente através do Sr Renato,2018,5,positive
528,"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",2018,5,positive
529,Muito bom,2018,5,positive
530,"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",2017,1,negative
533,"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas.",2017,5,positive
535,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,2018,5,positive
537,"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!",2017,4,positive
538,"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",2018,1,negative
539,Loja Nota 10,2017,4,positive
541,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,2017,5,positive
542,"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!",2018,1,negative
543,Muito bom mesmo!,2018,5,positive
544,"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡",2017,2,negative
545,Entrega antes do prazo produto muito bem conservado. ,2017,5,positive
546,Produto de ótima qualidade. Adorei!,2017,5,positive
549,"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",2018,5,positive
551,Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,2018,2,negative
552,"Não recebi o produto, assim como nenhum contato por parte do .vendedor",2018,1,negative
555,Nem ratrear estou conseguindo:(,2017,1,negative
556,nota 10,2018,5,positive
557,Esperando o instalador,2018,3,neutral
558,"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega",2017,2,negative
559,Ótimo serviço,2018,5,positive
560,"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu.",2017,4,positive
561,veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,2018,1,negative
564,"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",2017,1,negative
566,Perfeitos😁,2018,5,positive
567,"O preço foi ótimo, o prazo de entrega que é longo (mais de 1 mês para entregar). Comprei 2 cartuchos e entregaram apenas 1, reclamei e enviaram o outro ainda dentro do prazo de entrega.",2018,3,neutral
570,"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda",2018,5,positive
571,"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!",2018,5,positive
574,MUITO BOM! CHEGOU DENTRO DO PRAZO.,2018,4,positive
576,"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
",2018,5,positive
577,"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada.",2018,2,negative
580,só poderia entregar mais rápido fim de ano ,2017,5,positive
582,"Otima Venda, tudo perfeito.",2017,5,positive
591,Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3,2018,5,positive
593,"Veio bem embalado, Envio rápido! ",2017,5,positive
595,Estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!,2018,5,positive
597,"Até agora não recebi nada, a colcha estava prevista para anteontem(18/12) e até agora nada",2017,3,neutral
599,"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado ",2017,1,negative
600,Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! ,2017,5,positive
604,Indico a loja compro sempre na lannister .,2017,4,positive
606,"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.",2018,1,negative
609,"Foi tudo normal , como é mesmo uma compra por internet. Obrigado.",2017,5,positive
612,Boa compra.,2018,4,positive
616,"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita.",2018,4,positive
618,Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,2018,5,positive
620,Comprei 02 só enviaram 01,2017,3,neutral
622,"parece que mantem bem o alimento sem murchar (batata palha) mas a tampa é estranha, parece que não fecha. e o inox da tampa é feio.",2017,2,negative
624,"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",2017,1,negative
628,Entrega e produto perfeito!,2018,5,positive
630,Parabéns 😤 pelo excelente atendimento de qualidade.,2017,5,positive
633,Produto entregue antecipadamente.,2017,4,positive
635,gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.,2017,5,positive
638,"Super recomendo, stark Sempre chegando antes da dta prevista =D",2017,5,positive
639,Correios não entregou ,2018,4,positive
641,"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe",2016,4,positive
642,ainda não recebi o produto,2017,3,neutral
643,"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.",2017,1,negative
644,"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",2018,5,positive
646,"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",2017,1,negative
647,O pedido chegou antes do prazo. Obrigada.,2018,5,positive
648,Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta. ,2018,1,negative
650,"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo.",2017,4,positive
651,O tampo da mesa chegou todo amassado e batido.,2017,1,negative
652,Dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em 2 dias.,2017,2,negative
656,O relógio é lindo e a entrega foi muito rápida. Recomendo!,2017,5,positive
660,"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo",2018,5,positive
662,"Como sempre, excelente serviço.",2018,5,positive
664,Até o momento eu n recebir o produto,2017,1,negative
666,Como sempre lannister entrega certinho,2017,4,positive
669,"Produto perfeito, chegou antes do prazo!",2018,5,positive
671,"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. ",2018,5,positive
672,Muito bom o produto e preço cobrado!,2017,1,negative
674,Sdds ,2017,5,positive
675,muito bom o produto.Recomendo,2018,5,positive
680,entrega dentro do prazo isso é importante. ,2018,5,positive
681,"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok.",2018,5,positive
683,"O aparelho chegou apresentando defeito, não está apresentando todas as funções no visor digital.",2018,3,neutral
685,O produto não está nas medidas corretas indicadas na oferta. Terei q ligar para vcs para troca,2018,2,negative
686,No aguardo de um retorno urgente.,2018,1,negative
688,"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.",2017,1,negative
690,Só recebi um produto. Consta que já recebi os dois. Não recebi a sapateira. ,2018,3,neutral
692,Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo ,2018,1,negative
693,Excelente produto indico a qualquer pessoa.,2017,2,negative
694,tudo certinho entrega no prazo ótimo.,2018,5,positive
698,Não recebi o produto.e agora?,2018,1,negative
704,Chegou amassado... ,2017,3,neutral
709,Recomendo!,2017,4,positive
711,"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por",2017,1,negative
713,Ótimo perfume. Fragrância maravilhosa. Recomendo,2018,5,positive
716,muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!,2017,4,positive
717,O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. ,2018,5,positive
721,entrega rapida,2017,5,positive
724,"Previsão de entrega até 18/10, recebi em 05/10, excelente.",2017,5,positive
726,SOLICITEI DEVOLUÇÃO. PRODUTO COM DEFEITO,2018,3,neutral
727,Loja em si é boa pena a americana nao da suporte ao cliente ,2018,5,positive
729,Exatamente o que eu precisava ,2017,5,positive
730,"Achei a qualidade do produto muito ruim, não veio nenhuma bucha ou parafuso para fixar na parede.",2017,3,neutral
731,"Obrigada, chegou mto rápido",2018,5,positive
734,O único problema é que a marcação de data é a marcação americana.,2018,4,positive
735,Acho que o produto deveria ter um prazo de validade maior.,2018,4,positive
740,"Entrega antes do prazo, recomendo essa loja.",2018,5,positive
743,show ,2017,5,positive
745,Boa noite as lojas lannister são ótimas adoro o site hoje faço pouquíssima compra pelo frete abusivo infelizmente não compensa como antes mas precisamos comprar obrigada ,2018,3,neutral
754,"Excelente produto, bonito e sofisticado.",2018,5,positive
755,Não veio a nota fiscal,2017,4,positive
756,"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.",2018,5,positive
757,Entrega rápida produto conforme anunciado,2017,5,positive
760,"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.",2018,1,negative
761,A cortina não é o modelo que pedi. |,2017,1,negative
762,A impressão está saindo com a tinta fraquinha...,2018,3,neutral
765,Comprei Rosa com Braços Brancos e entregam toda Preta ?,2018,1,negative
766,Preciso de uma previsão.,2017,1,negative
767,Estou muito satisfeita chegou antes do prazo super recomendo ,2017,5,positive
769,Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. ,2018,4,positive
772,"Entrega dentro do prazo, produto sem nenhum problema",2017,4,positive
